feature,deep_vs_claude,deep_vs_gpt,claude_vs_gpt,all_three
memory_access_pattern,61.904761904761905,33.33333333333333,28.57142857142857,21.428571428571427
spatial_locality,59.523809523809526,52.38095238095239,50.0,30.952380952380953
temporal_locality,66.66666666666666,80.95238095238095,47.61904761904761,47.61904761904761
data_dependency_type,38.095238095238095,42.857142857142854,50.0,21.428571428571427
false_sharing_risk,23.809523809523807,50.0,40.476190476190474,14.285714285714285
load_balance_characteristic,40.476190476190474,88.09523809523809,47.61904761904761,38.095238095238095
algorithmic_complexity,69.04761904761905,78.57142857142857,66.66666666666666,59.523809523809526
dominant_operation,83.33333333333334,88.09523809523809,76.19047619047619,73.80952380952381
vectorization_potential,47.61904761904761,69.04761904761905,50.0,35.714285714285715
cache_behavior_pattern,69.04761904761905,33.33333333333333,28.57142857142857,16.666666666666664
parallelization_overhead,45.23809523809524,59.523809523809526,64.28571428571429,38.095238095238095
scalability_bottleneck,47.61904761904761,66.66666666666666,45.23809523809524,38.095238095238095
